id,config_path,initial_value,final_value,status,sensitivity_level,toubkal_evidence_level,decision_reason
CAPACITY_FILL_RATIO_DEFAULT,capacity_planning.default_target_fill_ratio,0.8,0.8,POLICY_CHOICE,MEDIUM,NOT_TESTED,"0.80 is retained as an explicit operational fill policy. MDTest/IOR did not test capacity-fill behavior; S9 shows medium sensitivity, so the value must not be presented as a Toubkal-calibrated constant."
WORKLOAD_METADATA_FILE_COUNT_WEIGHT,score_weights.metadata.file_count,0.5,0.5,POLICY_CHOICE,MEDIUM,NOT_ISOLATED,The 0.50 classification weight was not isolated by Toubkal. S9 shows medium classification sensitivity; retain it as a transparent heuristic policy.
WORKLOAD_METADATA_SMALL_FILE_WEIGHT,score_weights.metadata.small_file_factor,0.3,0.3,POLICY_CHOICE,MEDIUM,PARTIAL,"Small-file metadata behavior was exercised only partially, without controlled medium/large metadata contrasts. Retain 0.30 as a policy weight."
WORKLOAD_METADATA_CLIENT_WEIGHT,score_weights.metadata.client_count,0.2,0.2,POLICY_CHOICE,LOW,DIRECT_DIRECTIONAL,"M1/M2 directly support the direction of client influence, but not the exact 0.20 score weight. S9 sensitivity is low, so keep the weight as policy."
WORKLOAD_DATA_CAPACITY_WEIGHT,score_weights.data.capacity,0.4,0.4,POLICY_CHOICE,MEDIUM,NOT_TESTED,Capacity contribution was not isolated by the performance campaign. The 0.40 weight remains a classification policy choice.
WORKLOAD_DATA_BANDWIDTH_WEIGHT,score_weights.data.bandwidth,0.4,0.4,POLICY_CHOICE,MEDIUM,DIRECT_DIRECTIONAL,"IOR supports bandwidth relevance, but not the exact 0.40 classification weight. S9 shows medium sensitivity; retain it as policy."
WORKLOAD_DATA_LARGE_FILE_WEIGHT,score_weights.data.large_file_factor,0.2,0.2,POLICY_CHOICE,MEDIUM,PARTIAL,"Large sequential I/O was exercised, but no controlled score-weight experiment identifies the 0.20 coefficient. Retain it as policy."
WORKLOAD_DOMINANCE_MARGIN,workload_classification.dominance_margin,0.15,0.15,POLICY_CHOICE,MEDIUM,PARTIAL,"The 0.15 boundary is a decision-policy threshold, not a physical Lustre constant. S9 shows medium workload-classification sensitivity, so it remains explicit policy."
MDT_BASE_IOPS_PER_CLIENT,mdt_estimation.base_iops_per_client,100,100,POLICY_CHOICE,HIGH,DIRECT_DIRECTIONAL_NOT_ABSOLUTE,"M1/M2 confirm monotonic client influence but Toubkal throughput is delivered capacity, not user demand. Therefore MDTest peak ops/s cannot be fitted to the 100 IOPS/client demand proxy. High S9 sensitivity requires explicit policy labeling."
MDT_SMALL_FILE_MULTIPLIER,mdt_estimation.small_file_multiplier,3.0,3.0,POLICY_CHOICE,HIGH,PARTIAL,"Small-file pressure is qualitatively supported, but the 3.0 magnitude was not identified by a controlled file-size sweep. Keep as a high-sensitivity policy prior."
