text,label_id,label,probability,threshold,gold,pass
Maximum power is 15 kW.,0,NO_PREFERENCE_SIGNAL,0.0036396889481693506,0.49999999999999994,0,True
"The budget must remain below $100,000.",0,NO_PREFERENCE_SIGNAL,0.0003093371051363647,0.49999999999999994,0,True
Target read throughput is 80 GB/s.,0,NO_PREFERENCE_SIGNAL,0.0007281596772372723,0.49999999999999994,0,True
We need 500 TiB and 200 clients.,1,PREFERENCE_SIGNAL,0.9995357990264893,0.49999999999999994,0,False
Performance is our main priority.,1,PREFERENCE_SIGNAL,0.9998383522033691,0.49999999999999994,1,True
Reliability is absolutely critical.,1,PREFERENCE_SIGNAL,0.9998412132263184,0.49999999999999994,1,True
Cost is not important to us.,1,PREFERENCE_SIGNAL,0.9998408555984497,0.49999999999999994,1,True
Keeping power consumption low matters a lot.,1,PREFERENCE_SIGNAL,0.9998372793197632,0.49999999999999994,1,True
We are willing to spend more if that makes the system more reliable.,1,PREFERENCE_SIGNAL,0.9998533725738525,0.49999999999999994,1,True
La fiabilité est notre priorité absolue.,1,PREFERENCE_SIGNAL,0.999841570854187,0.49999999999999994,1,True
La puissance maximale est de 15 kW.,0,NO_PREFERENCE_SIGNAL,0.004674769006669521,0.49999999999999994,0,True
Performance est très importante mais le cost est secondaire.,1,PREFERENCE_SIGNAL,0.9998400211334229,0.49999999999999994,1,True
Performnce is our top priorty.,1,PREFERENCE_SIGNAL,0.9998282194137573,0.49999999999999994,1,True
The report contains reliability statistics.,0,NO_PREFERENCE_SIGNAL,0.00023179335403256118,0.49999999999999994,0,True
